,text
453,"University of Groningen offers a Master program called 'Natural Language Processing' in Groningen. The program lasts for 2 years. Program Overview: How do you make Large Language Models? How do people experience Natural Language Processing (NLP) applications? How can we use these technologies to analyze subjective framing of text, detect mistranslations, and make Large Language Models more transparent? NLP is everywhere: Machine Translation is increasingly employed for communication, advanced search engines are utilized to extract content from diverse media, and GenAI is used to assist creative writing. Research in NLP is crucial because it enables machines to understand, interpret, and generate human language, making human-computer interaction more natural and accessible, while also opening up new possibilities for automating and enhancing tasks across various industries. This international Double Degree track in Natural Language Processing combines Linguistics and Computer Science, which means you study human language technologies in a multilingual setting. The two-year training is part of the prestigious international Erasmus Mundus programme. You will spend the first year of your studies in Groningen and will finish the programme at one of our partner universities in the second year. After completing the track, you will receive two Master's degrees: a degree in Linguistics from the University of Groningen and a second Master's degree from the partner university you choose to stay at. Natural Language Processi This program awards a degree titled '-'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/language-and-communication-technologies-double-degree-programme-research/."
454,"University of Groningen offers a Master program called 'Cultural Leadership' in Groningen. The program lasts for 2 years. Program Overview: Culture and heritage are the sinews of a society. In an era marked by rapid change, ambitious and critical cultural leaders are required to foster the cultural core of a sustainable society. Culture defines humanity. Managing the valuation and transmission of culture through policy, entrepreneurship, and education across generations is therefore a key responsibility for a sustainable society. In our modern society, culture has to be negotiated as it is shaped by digitisation and new media, ethnic and cultural diversity, changing audiences and economic circumstances, dwindling public funds, and a loss of shared historical awareness. The mission of the Research Master's track Cultural Leadership is to train its students to conduct academic research into processes of cultural leadership. We equip them with essential scholarly expertise as well as analytical and strategic skills, so that they may carry culture forward in a critical, sustainable, and creative manner, and ultimately become cultural leaders themselves.Culture defines humanity. Managing the valuation and transmission of culture through policy, entrepreneurship, and education across generations is therefore a key responsibility for a sustainable society and a resilient democracy. Our research programme identifies cultural leadership as any cultural practice creating or strengthening interactions between the art This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 19,200; Institutional students pay € 16,300. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/cultural-leadership/."
455,"University of Groningen offers a Master program called 'Finance' in Groningen. The program lasts for 1 year. Program Overview: Study finance in Groningen and learn about corporate and sustainable finance, asset management, and what drives the investment decisions of companies.What role do financial institutions play in supporting sustainable development and responsible investing? And how do you decide at what price can a company be acquired or sold? In the MSc Finance, you analyze and evaluate real and complex financial problems faced by companies and institutions. For example, you learn to manage the financial risks of banks and pension funds, which contributes to reliable banking services and pensions. You also learn to include information on business sustainability next to financial information in order to help contain climate risks.What’s unique about the programme in Groningen is the possibility to tailor your programme based on your interests (a wide range of elective courses) and specialize in five different fields: sustainable finance, development finance, corporate finance, investment and asset management, and general finance. You will learn about how to use data science and machine learning techniques, gaining essential skills for the future. The theory is also put into practice with our many real-life investment games, business cases from companies, and the opportunity to connect with future employers. We provide you with the tools and knowledge to develop highly relevant skills in this fie This program awards a degree titled '-'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Feb '26, the application deadline is 15 Oct '25 for EU/EEA applicants, and 15 Oct '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/finance/."
456,"Hanze University of Applied Sciences offers a Master program called 'Data Science for Life Sciences' in Groningen. The program lasts for 2 years. Program Overview: The Data Science for Life Sciences master programme is aimed at life science or IT students who want to learn how they can be part of the growing field of data science. After this master, you will possess the skills you need to facilitate and initiate innovations for the life science, such as programming machine learning applications and managing data storages. With this knowledge, you breach the gap between life sciences and computer technology. During this master, you will be combining life sciences with data science. You will learn how to use new data processing technologies, write algorithms - for instance to recognise sick cells - and analyse health-data. These skills will help you to contribute to better and more efficient healthcare and aid innovations in the life science industry. In short, you will develop into a data scientist who bridges the gap between domains of life science and technology. You will play an active role in ensuring that the data generated by the exponential growth in databases and medical databases is exploited to the full. This master programme responds to a growing demand for data scientists and is the first master at a university of applied sciences in this field. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.0); or TOEFL computer based (minimum score or level: 80); or TOEFL internet based (minimum score or level: 80); or TOEFL paper based (minimum score or level: 80). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Aug '25 for EU/EEA applicants, and 1 Jun '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 15 Aug '26 for EU/EEA applicants, and 1 Jun '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 15 Aug '27 for EU/EEA applicants, and 1 Jun '27 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '28, the application deadline is 15 Aug '28 for EU/EEA applicants, and 1 Jun '28 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.hanze.nl/dsls."
457,"Hanze University of Applied Sciences offers a Master program called 'Energy for Society' in Groningen. The program lasts for 1.5 year. Program Overview: Have you ever wondered how your community (village, neighbourhood, company, institution) can make the transition from fossil sourced energy to more sustainable sources? This key issue is the essence of the master's programme Energy for Society. The aim of the master programme is to educate Energy Transition Strategists focussing on local and regional levels of energy transition. Upon graduation you will have a broad competence base ranging from how to build (energy) communities, sustainable energy technologies, sustainable business models, governance, communication to spatial transformations. This will enable you to initiate and support local and regional energy transition projects entrepreneurially, i.e. help define and implement community-based projects that create social, environmental and monetary value. You will be able to catalyse complex bottom-up energy transition processes and foster change in people's 'energy behaviour'. Working with communities, cooperatives, clusters of companies, municipalities and regional organisations you will create synergy between different groups of stakeholders. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1.5 year. It carries a total of 90 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.5); or TOEFL paper based (minimum score or level: 575); or TOEFL computer based (minimum score or level: 232); or TOEFL internet based (minimum score or level: 90). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Aug '25 for EU/EEA applicants, and 1 Jun '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 15 Aug '26 for EU/EEA applicants, and 1 Jun '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 15 Aug '27 for EU/EEA applicants, and 1 Jun '27 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '28, the application deadline is 15 Aug '28 for EU/EEA applicants, and 1 Jun '28 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.hanze.nl/e4s."
458,"University of Groningen offers a Master program called 'DDM International Financial Management' in Groningen. The program lasts for 2 years. Program Overview: Study international financial management in Groningen and Milan and gain an exceptional preparation for a successful career in financial markets, international finance and risk management. In this double degree master’s, you develop the knowledge and skills necessary to identify, analyze, and assess real complex international financial management issues on both the level of companies and institutions, as well as on a societal level. You start the first year in MSc International Financial Management in Groningen. You will learn about the different aspects of financial management in an international business environment. In Milan, during the second year, you will study integrated financial models, and firm-specific as well as industry and macroeconomic factors in their decision-making process. You gain knowledge from various study fields, including accounting, finance, control, and management applying sustainable, ethical, and responsible principles. You will learn how to think strategically, investigate innovative ideas, use research techniques, and handle challenging financial opportunities and issues in multinational businesses and international financial institutions and organizations.By the end of this double degree programme, you will graduate with two diplomas from two highly ranked universities: MSc International Financial Management (MSc IFM) from the University o This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 21,400; Institutional students pay € 20,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/ddm-international-financial-management/."
459,"University of Groningen offers a Bachelor program called 'Spatial Planning and Design' in Groningen. The program lasts for 3 years. Program Overview: If you have a special interest in the living environment, and you aspire to combine analytical thinking with creative design, then Spatial Planning and Design is the field for you. What effects will climate change have on our future cities and rural areas? How can you develop sustainable strategies and designs for new and existing urban systems? How do you deal with a complex built environment and related spatial planning and design processes? Planners are asked to translate spatial transformations into new opportunities to enhance the quality of life. The Bachelor's degree programme in Spatial Planning and Design (in Dutch: Technische planologie) revolves around physical design and institutional design. The courses relate to spatial planning and design, water management, infrastructure and environmental planning, spatial computer programs, complex decision-making and academic research. During the programme, you will work in virtual realities, but also go on excursions to see spatial projects in real life. In addition, there will be opportunities to develop your personal interests via the elective course units. Finally, you complete your Bachelor's degree with a research project. And if you aspire to learn more: excellent students can take part in a more in-depth programme at the Honours College, which has a wider range of topics. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,500; Institutional students pay € 11,800. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/bachelors/spatial-planning-and-design/."
460,"University of Groningen offers a Master program called 'Chemistry' in Groningen. The program lasts for 2 years. Program Overview: How can I make a novel antibiotic from functional organic compounds? Can I build a motor at the molecular level? Can I synthesize life-like artificial molecular systems? How can we make energy storage sustainable? You will encounter these questions and many more in the Master's degree programme in Chemistry at the University of Groningen. The two-year programme is taught entirely in English and is embedded in an internationally-leading research environment. The programme offers a great deal of freedom in terms of topics and has a strong focus on research, with students spending 50% of their time in research labs.Research trackThe research track in the programme offers several specializations with the possibility to design your own programme:Catalysis in Chemistry, Advanced Synthesis, Synthetic and Chemical Biology, Protein Biochemistry, Supramolecular Chemistry, Polymer Chemistry, Organometallic Chemistry, Theoretical Chemistry and Modelling, and Solid State materials, and Sustainable energy.Science, Business and PolicyThis profile emphasizes the societal aspects of Science. You will gain valuable research experience and learn to implement your chemical knowledge in companies and policy organisations.The Chemistry research project takes place in a research group within or across one of these specialisations. These groups are associated with three main research institutes This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 24,900; Institutional students pay € 20,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/chemistry/."
461,"University of Groningen offers a Master program called 'Religious Diversity in a Globalised World (EM)' in Groningen. The program lasts for 2 years. Program Overview: What is the influence of religion on global developments? How does globalisation affect local religious traditions? What are the limits of tolerance and acceptance of religious diversity? In a globalised world, there is a need for experts on religion who can help explain and solve conflicts, who can find common ground to bridge differences between groups with various religious viewpoints and political aims. In this unique international two year programme we train these experts in understanding religious movements, identities, and diversity, and how such phenomena interact with wider social, cultural, political and economic environments, in both historical and contemporary contexts. It prepares you to make a difference in careers like diplomacy, international development, research, journalism, or social welfare. The programme is offered by ReD Global, a network of European and Latin American universities and professional organizations, funded by the European Commission. If you are looking for a personalised learning experience in a world-leading interdisciplinary research environment, this is the programme for you! The University of Groningen is the coordinator of the ReD Global programme. The main partners are Córdoba University and University of Coimbra. For more information and application, please visit the ReD Global consortium website. This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: Cambridge Certificate in Advanced English (minimum score or level: C1); or Cambridge Certificate of Proficiency in English (minimum score or level: C2); or IELTS overall band (minimum score or level: 7); or TOEFL internet based (minimum score or level: 100). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 5,000; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/religious-diversity-in-a-globalised-world-em-research/."
462,"University of Groningen offers a Master program called 'International Commercial Law' in Groningen. The program lasts for 1 year. Program Overview: The one year LLM programme in International Commercial Law covers specialization in (international) commercial law, especially with regard to contracts and subjects of contracts, as well as the solving of (commercial) disputes when needed. Detailed information on the programme can be found on the Faculty webpages here. This is a selective LLM, see Faculty pages here for further details. The LLM International Commercial Law is registered under the LLM CROHO label International Commercial Law (60603). This program awards a degree titled 'Master of Laws'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 21,400; Institutional students pay € 20,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/international-commercial-law/."
463,"Tio University of Applied Sciences offers a Other program called 'International Business Management' in Groningen. The program lasts for 3 years. Program Overview: The world revolves around trade. Establishing international contacts and spotting opportunities - or creating them yourself. This bachelor programme brings you one step closer to international success. You close a deal with an American organisation and research the possibilities of doing business in Asia. That is just business as usual after earning the International Business Management bachelor’s degree. You can compete with the best in the financial services sector as well. You keep a close eye on international developments and always stay one step ahead of the latest trends. You have contacts around the world and use your knowledge as an international manager, consultant or entrepreneur. This Associate Degree has been accredited by the NVAO and it has scored top marks in the Higher Education Guide for the 9th year in a row. It has also earned the highest rating out of all business programmes in the National Student Survey (NSE) for several years. In Elsevier’s “Best study courses” enquiry, the programme has top rankings for 5 years. This program awards a degree titled 'Associate Degree'. The language of instruction is English. The program duration is 3 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Sep '25 for EU/EEA applicants, and 15 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.tio.nl/en/studychoice/associate-degree/."
464,"University of Groningen offers a Bachelor program called 'English Language and Culture' in Groningen. The program lasts for 3 years. Program Overview: Is English your favourite subject at school? How does the Netflix series Bridgerton combine the novels of Jane Austen with modern thoughts on women, race and equality? In an ever-growing diverse society, how will studying linguistics improve your communication and analytical skills? The bachelor programme English Language and Culture at the University of Groningen is consistently rated one of the best in the country. The three pillars of this programme are language, literature and culture. In an ever-growing international environment there is a need for employees and researchers with a high level of English in writing, reading and speaking. In addition, the programme develops your presentation and debating skills.Studying English literature not only means you get to read a lot of books, but it also allows you to explore topics related to present-day issues such as gender, identity, crime and punishment and social cohesion. These topics are not only present in modern literature, but they also dominate the popular plays of William Shakespeare, and are also found in a number of medieval works such as The Canterbury Tales by Geoffrey Chaucer and the Old English epic Beowulf. The medieval world, like today’s, was full of controversy. People debated about the position of women in society, ways of combatting disease, the virtues and vices of different classes, which way best This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,500; Institutional students pay € 11,800. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/bachelors/english-language-and-culture/."
465,"Hanze University of Applied Sciences offers a Bachelor program called 'International Facility Management' in Groningen. The program lasts for 4 years. Program Overview: International Facility Management is a four year programme that teaches you how to make the immediate living and working conditions for guests, customers and employees as pleasant and safe as possible. This process helps the organization as a whole to function better. It is how facility managers make a substantial contribution to the efficient operation of the organizations for which they work. After graduating from International Facility Managment, you will be able to find a job at management level in which you are responsible for services (e.g. IT services, catering, cleaning, security and quality management) and/or building accommodation (e.g. management of building processes, maintenance of workplaces). Facility managers can be found practically anywhere. They work for large companies such as banks, insurance companies or multinationals, but also in the public sector in hospitals, schools, universities, etc. facility managers can also be found in the hospitality industry, such as in hotels, resorts, conference centres and holiday parks. In addition, you can work as a facility management consultant or even set up your own business - a security firm, for example. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 4 years. It carries a total of 240 ECTS credits. The program is accredited by GEFMA. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Aug '25 for EU/EEA applicants, and 1 Jun '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 15 Aug '26 for EU/EEA applicants, and 1 Jun '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 15 Aug '27 for EU/EEA applicants, and 1 Jun '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.hanze.nl/ifm."
466,"University of Groningen offers a Master program called 'Biomedical Sciences' in Groningen. The program lasts for 2 years. Program Overview: What causes disease? What is the genetic or epigenetic background of disorders? How do microorganisms in the intestine contribute to health and disease? What are the underlying mechanisms of diseases and what novel strategies can we design to cure disease? During the selective Master's degree programme in Biomedical Sciences you will be trained to find answers to these questions. The programme is strongly oriented towards the scientific background of health, disease and preclinical research. You will encounter an interdisciplinary environment of basic scientific research at the faculty of science and engineering and a more medically oriented environment at the University Medical Center.We offer tracks related to the biology of cancer and the immune system, the biology of food and nutrition, the biology of healthy ageing and disease, and neuroscience. We also offer the unique option of creating a custom-made biomedical science programme that matches your ambitions. This could be a programme dedicated to virology and microbiology, to regenerative medicine, to genetics or big data science as well as to many other fields in which the University of Groningen occupies a leading global position.For those who have the ambition to go into industry or policy making, to become a consultant or to pursue a biomedical career in any other field NOT related to research, we offer the Sci This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 24,900; Institutional students pay € 20,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.rug.nl/masters/biomedical-sciences/."
467,"University of Groningen offers a Master program called 'Behavioural and Cognitive Neurosciences' in Groningen. The program lasts for 2 years. Program Overview: Are you interested in the basis of consciousness, the mechanisms of learning, or the genetics of behaviour? In this programme you study the brain, cognition, and behaviour from different perspectives. The main focus of this Research Master is to train students to become independent researchers, and contains three tracks that are described in more detail below:* Behavioural Neurosciences (B-track)* Cognitive Neuroscience & Modelling (C-track)* Molecular & Clinical Neurosciences (N-track)The curriculum consists of 20 ECTS of track-specific education, 10 ECTS of multidisciplinary education that covers all fields of neuroscience, and 90 ECTS in which students can pursue their own specific interests through choosing electives and two research projects. Students will also participate in summer and winter symposia.Through the four track-specific courses (see the Programme link below), students develop their foundational knowledge of research topics and skills in the Behavioural, Cognitive, or Molecular Neuroscience. Thereafter, students can further develop their specialisation through elective courses and research projects in their field of interest. The programme also provides the unique opportunity to broaden their scope by choosing projects and electives in the domains of the other tracks (i.e., interdisciplinary/multidisciplinary research). It is advised to start the progra This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 24,900; Institutional students pay € 20,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/behavioural-and-cognitive-neurosciences-research/."
468,"University of Groningen offers a Master program called 'Music, Theatre and Performance Studies' in Groningen. The program lasts for 1 year. Program Overview: This Master's programme offers two specializations: one in Popular Music, Sound and Media Cultures and another in Theatre, Culture and Media studies. Each specialization encompasses both emergent and historically established practices in music and theatre and the performing arts. For the music specialization see: Popular Music, Sound and Media CulturesFor the theatre and performing arts specialization see: Theatre, Culture and MediaWithin both the music and theatre specialization, we highlight those phenomena which most impact the organization, experience, and creative potential of music and theatre makers and audiences in the twentieth and twenty first centuries. MA students examine the current constitution of music or theatre organizations, as well as the impact of broader processes such as globalization, digitalization, urbanization, festivalisation, and mobility upon expanding forms of creativity. Because humans continue to shape creative experience within cultural fields, these two specializations aim to uncover how music or theatre remain relevant for understanding broader relations between culture, society, and the arts.We examine these and other processes in historical contexts and in our musical and theatrical present, where economic crisis in recording and performing industries has led to vast rearrangements of musical and theatrical labour and changing concept This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 19,200; Institutional students pay € 16,300. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Aug '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 15 Aug '26 for EU/EEA applicants, and 1 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 15 Aug '27 for EU/EEA applicants, and 1 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/music-theatre-and-performance-studies/."
469,"University of Groningen offers a Master program called 'DDM Development Planning and Infrastructure Management' in Groningen. The program lasts for 2 years. Program Overview: Would you like to study topics in Development Planning and Infrastructure Management in two different countries? Then this double degree is the right choice for you. The Faculty of Spatial Sciences in Groningen and the Department of Urban and Regional Planning in Bandung combine their strengths in this double degree. The course lasts for twenty-four months. You will spend the first twelve months in Indonesia and the second twelve months in the Netherlands.The programme is designed to provide you with the professional capability to deal with planning related activities. You will focus on local as well as central levels in both the developed and the developing world. You will be trained to address spatial problems and to tackle complicated situations in an efficient and effective way. This degree will provide you with the skills to improve and develop infrastructure planning and management in the context of urban and regional development.The curriculum focuses on theories in the field of planning, for example in planning and management of natural resources. In addition, you will be trained to handle decision-making processes. Furthermore, this degree will provide you with the skills to improve and develop infrastructure planning and management in the context of urban and regional development.See the website of the Institut Teknologi Bandung (ITB) for more information or co This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 21,400; Institutional students pay € 20,500. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and 15 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is - for EU/EEA applicants, and 15 May '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is - for EU/EEA applicants, and 15 May '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rug.nl/masters/ddm-development-planning-and-infrastructure-management/."
470,"Hanze University of Applied Sciences offers a Bachelor program called 'Electrical and Electronic Engineering' in Groningen. The program lasts for 4 years. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 4 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 600); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 90). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Aug '25 for EU/EEA applicants, and 1 Jun '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 15 Aug '26 for EU/EEA applicants, and 1 Jun '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 15 Aug '27 for EU/EEA applicants, and 1 Jun '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.hanze.nl/en/programmes?searchQuery=electrical."
